EQUIPMENT_NUMBER,ORDER_TYPE,DESIR,MRMIN,MRMAX,MRNGU,CJUMP,PYEAR,INDCT,READG,MEASUREMENT_DATE,Previous Order Date,MEASUREMENT_YEAR,MEASUREMENT_MONTH
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,4320360.0,21,-167,2000,2
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,4399200.0,28,-174,2000,2
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,4455000.0,6,-181,2000,3
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,4542120.0,13,-188,2000,3
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,4615920.0,20,-195,2000,3
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,4686120.0,27,-202,2000,3
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,4750200.0,3,-209,2000,4
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,4823280.0,10,-216,2000,4
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,4886280.0,17,-223,2000,4
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,4949280.0,24,-230,2000,4
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,5036760.0,1,-237,2000,5
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,5103000.0,8,-244,2000,5
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,5160600.0,15,-251,2000,5
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,5239440.0,22,-258,2000,5
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,5297760.0,29,-265,2000,5
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,5380560.0,5,-272,2000,6
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,5446080.0,12,-279,2000,6
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,5500440.0,19,-286,2000,6
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,5578200.0,26,-293,2000,6
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,5655600.0,3,-300,2000,7
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,5730840.0,10,-307,2000,7
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,5797800.0,17,-314,2000,7
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,5863320.0,24,-321,2000,7
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,5919480.0,31,-328,2000,7
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,5997960.0,7,-335,2000,8
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,6084000.0,14,-342,2000,8
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,6169320.0,21,-349,2000,8
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,6236640.0,28,-356,2000,8
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,6296400.0,4,-363,2000,9
